Model,Class,Precision,Recall,F1-score,Support
custom_cnn,crazing,1.0,1.0,1.0,45
custom_cnn,inclusion,0.918,1.0,0.957,45
custom_cnn,patches,0.938,1.0,0.968,45
custom_cnn,pitted_surface,1.0,0.911,0.953,45
custom_cnn,rolled-in_scale,0.957,1.0,0.978,45
custom_cnn,scratches,1.0,0.889,0.941,45
mobilenetv2,crazing,0.978,1.0,0.989,45
mobilenetv2,inclusion,0.957,1.0,0.978,45
mobilenetv2,patches,1.0,1.0,1.0,45
mobilenetv2,pitted_surface,1.0,0.978,0.989,45
mobilenetv2,rolled-in_scale,0.938,1.0,0.968,45
mobilenetv2,scratches,1.0,0.889,0.941,45
resnet50,crazing,1.0,1.0,1.0,45
resnet50,inclusion,1.0,1.0,1.0,45
resnet50,patches,1.0,1.0,1.0,45
resnet50,pitted_surface,1.0,1.0,1.0,45
resnet50,rolled-in_scale,1.0,1.0,1.0,45
resnet50,scratches,1.0,1.0,1.0,45
